DATE,Time (hour),pH,N (mg/kg),P (mg/kg),K (mg/kg)
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
11/1/2024,23,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,53,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.6,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,24,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,1,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,54,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,2,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
12/1/2024,3,6.5,53,5,18
